    observation_date,GDP
1954-01-01,385.345
1954-04-01,386.121
1954-07-01,390.996
1954-10-01,399.734
1955-01-01,413.073
1955-04-01,421.532
1955-07-01,430.221
1955-10-01,437.092
1956-01-01,439.746
1956-04-01,446.010
1956-07-01,451.191
1956-10-01,460.463
1957-01-01,469.779
1957-04-01,472.025
1957-07-01,479.490
1957-10-01,474.864
1958-01-01,467.540
1958-04-01,471.978
1958-07-01,485.841
1958-10-01,499.555
1959-01-01,510.330
1959-04-01,522.653
1959-07-01,525.034
1959-10-01,528.600
1960-01-01,542.648
